01,Web Development II 
02,Server-side Includes 
03,Development Workflow 
04,SQL Basics 
05,Forms Input 
06,PHP with Database 
07,Software Design
08,Subscriber App 
09,Testing 
10,Subscriber Application 
11,Event Logger 
12,Better Dev Tools 
13,Building Apps 
14,MVC Pattern 
15,Design Patterns 
16,Milestones 
17,Arrays and Files 
18,App Milestones 
19,Objects 
20,Files & Directories 
21,Pair Programming 
22,Controller Design 
23,Templates Design 
24,Templates Design 
25,Complex Page Rendering 
26,Handling Errors 
27,Cookies & Sessions 
28,Music Manager App 
29,Data Application 
30,Data Update 
31,Data Encapsulation 
32,User Authentication 
33,Notes Application 
34,Design Review Application 
35,Design Review App 
36,Design Review App 
37,Design Reviews 
38,Testing 
39,Class Wrap Up 
